"filename", "language", "C++", "Dart", "Markdown", "YAML", "Swift", "JSON", "Properties", "Groovy", "XML", "HTML", "comment", "blank", "total"
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\bloc\signin\signin_state.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\bloc\signup\signup_cubit.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\bloc\signup\signup_state.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\pages\login_screen.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\pages\signup_screen.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\pages\splash_screen.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 24, 5, 51
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\widgets\authentication_background.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\widgets\custom_formfields.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 83
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\widgets\login_form.dart", "Dart", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 137
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\authentication\presentation\widgets\signup_form.dart", "Dart", 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 163
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\cart\data\models\display_cart_model.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 59
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\cart\data\repositories\display_cart_repo.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 85
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\cart\data\repositories\proceed_checkout_repo.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\cart\presentation\bloc\cart_bloc.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\cart\presentation\bloc\cart_event.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 32
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\cart\presentation\bloc\cart_state.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 45
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\cart\presentation\pages\cart_page.dart", "Dart", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 245
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\data\datasources\add_to_cart.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\Flutter\practice\client project\ecommerce_user\lib\src\core\features\display_products\data\datasources\product_repo.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 39
